,r,b,swpd,livre,buffer,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st,name,date,time
0,1,0,0,1689696,219828,44700,0,0,1,5,21,28,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
1,1,0,0,1689540,219832,44708,0,0,0,18,46,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
2,0,0,0,1689540,219832,44712,0,0,0,8,38,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
3,0,0,0,1689540,219848,44716,0,0,0,12,39,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
4,0,0,0,1689540,219860,44716,0,0,0,9,40,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
5,0,0,0,1689664,219864,44716,0,0,0,9,39,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
6,0,0,0,1689664,219872,44716,0,0,0,10,44,58,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
7,0,0,0,1689664,219884,44716,0,0,0,9,38,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
8,0,0,0,1689540,219908,44716,0,0,0,10,42,60,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
9,0,0,0,1689416,219932,44716,0,0,0,8,40,60,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
10,0,0,0,1689416,219944,44716,0,0,0,10,40,60,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
11,1,0,0,1689292,219960,44716,0,0,0,9,39,61,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
12,0,0,0,1689416,219980,44716,0,0,0,8,41,61,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
13,0,0,0,1689292,219988,44716,0,0,0,8,40,60,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
14,0,0,0,1689416,219992,44720,0,0,0,8,40,61,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
15,0,0,0,1689292,219996,44724,0,0,0,9,40,60,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
16,0,0,0,1689292,220004,44724,0,0,0,9,42,61,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
17,0,0,0,1689416,220016,44724,0,0,0,9,42,61,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
18,0,0,0,1689416,220024,44724,0,0,0,9,40,57,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
19,0,0,0,1689292,220032,44724,0,0,0,9,38,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
20,1,0,0,1689144,220044,44724,0,0,0,9,44,58,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
21,0,1,0,1689416,220076,44720,0,0,0,14,46,63,0,0,99,0,-1,neo-slayer,2018-05-02,00:00:01
22,0,0,0,1689416,220080,44724,0,0,0,6,39,61,0,0,99,0,-1,neo-slayer,2018-05-02,00:00:01
23,0,0,0,1689292,220088,44724,0,0,0,11,39,60,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
24,0,0,0,1689292,220092,44724,0,0,0,9,44,58,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
25,0,0,0,1689416,220092,44728,0,0,0,10,38,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
26,0,0,0,1689292,220104,44728,0,0,0,8,36,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
27,0,0,0,1689268,220120,44744,0,0,0,10,38,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
28,0,0,0,1689292,220124,44732,0,0,0,8,37,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
29,0,0,0,1689236,220148,44744,0,0,0,10,52,61,0,0,99,0,-1,neo-slayer,2018-05-02,00:00:01
30,0,0,0,1689168,220164,44732,0,0,0,10,37,57,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
31,1,0,0,1689160,220168,44720,0,0,0,9,37,57,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
32,0,0,0,1688656,220172,44736,0,0,0,9,43,57,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
33,0,0,0,1689012,220184,44724,0,0,0,8,41,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
34,0,0,0,1688888,220192,44736,0,0,0,8,38,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
35,0,0,0,1688888,220196,44740,0,0,0,9,37,57,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
36,0,0,0,1688872,220196,44720,0,0,0,8,38,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
37,0,0,0,1688856,220208,44744,0,0,0,12,43,59,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
38,0,0,0,1688740,220224,44748,0,0,0,8,37,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
39,0,0,0,1688772,220228,44752,0,0,0,11,38,54,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
40,0,0,0,1688864,220236,44752,0,0,0,8,37,53,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
41,1,0,0,1688912,220244,44744,0,0,0,12,49,61,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
42,0,0,0,1688788,220260,44748,0,0,0,11,39,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
43,0,0,0,1688980,220276,44744,0,0,0,9,40,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
44,0,0,0,1688764,220296,44744,0,0,0,9,40,55,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
45,0,0,0,1688872,220320,44728,0,0,0,8,39,54,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
46,0,0,0,1688772,220336,44732,0,0,0,9,39,54,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
47,0,0,0,1688796,220344,44744,0,0,0,10,38,54,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
48,0,0,0,1689004,220356,44748,0,0,0,8,38,54,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
49,0,0,0,1688896,220372,44752,0,0,0,9,38,54,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
50,0,0,0,1689012,220384,44740,0,0,0,9,37,54,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
51,0,0,0,1688724,220392,44748,0,0,0,10,37,56,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
52,0,0,0,1688672,220404,44752,0,0,0,7,48,49,0,0,100,0,-1,neo-slayer,2018-05-02,00:00:01
